YEAR,COUNTRY,TF8,SYS02,SYS03,SYS04,SE005,SE010,SE011,SE015,SE016,SE020,SE021,SE025,SE030,SE035,SE041,SE042,SE046,SE050,SE054,SE055,SE060,SE065,SE071,SE072,SE073,SE074,SE075,SE080,SE085,SE086,SE087,SE090,SE095,SE100,SE105,SE110,SE110D,SE110N,SE115,SE115D,SE115N,SE120,SE120D,SE120N,SE125,SE125D,SE125N,SE126,SE126D,SE126N,SE127,SE127D,SE127N,SE131,SE132,SE132D,SE132N,SE135,SE136,SE136D,SE136N,SE140,SE145,SE146,SE150,SE155,SE160,SE165,SE170,SE175,SE180,SE185,SE190,SE195,SE200,SE206,SE207,SE207D,SE207N,SE211,SE216,SE220,SE225,SE230,SE235,SE240,SE245,SE251,SE256,SE260,SE265,SE270,SE275,SE281,SE284,SE284D,SE284N,SE285,SE290,SE295,SE296,SE297,SE298,SE300,SE305,SE309,SE309D,SE309N,SE310,SE315,SE320,SE325,SE330,SE331,SE336,SE340,SE345,SE350,SE356,SE360,SE365,SE370,SE375,SE380,SE381,SE390,SE395,SE405,SE406,SE407,SE408,SE409,SE410,SE415,SE420,SE425,SE425D,SE425N,SE430,SE430D,SE430N,SE436,SE437,SE441,SE446,SE450,SE455,SE460,SE465,SE470,SE475,SE476,SE480,SE485,SE490,SE495,SE501,SE506,SE510,SE516,SE521,SE526,SE530,SE532,SE532D,SE532N,SE600,SE605,SE610,SE611,SE612,SE613,SE615,SE616,SE617,SE618,SE619,SE621,SE622,SE623,SE624,SE625,SE626,SE630,SE631,SE632,SE640,SE650,SE699,SE700,SE750
2004,(BEL) Belgium,(1) Fieldcrops,4040,100 - <200,40.3399,129.1,1.4,3307.91,1.26,2984.56,0.14,323.35,59.18,45.42,22.99,22.54,0.0,4.33,0.0,0.12,0.12,0.0,0.0,6.8,0.02,1.65,1.67,0.0,14.14,0.9,0.0,0.0,12.13,0.01,0.62,0.13,91.168251098,18.81,1714.75,116.38518786,0.74,86.05,2.8000270001999996,4.66,13.04,5031.1868933,0.9,4547.52,,0.0,0.0,,0.0,0.0,117934.0,1.2982943969,90838.01,117934.48,101666.0,1771.2584217,57.4,101665.8,19517.0,201.0,0.0,18893.0,30067.0,169.0,9058.0,18119.0,1985.0,0.0,0.0,0.0,925.0,2732.0,10913.0,771.57824212,14.14,10913.04,-491.0,1278.0,7909.0,129.0,10.0,308.0,0.0,2.0,1277.0,5356.0,98.0,2382.0,90838.0,57126.0,35776.0,506.88771053,59.18,29995.9,10677.0,880.0,7833.0,,,,10548.0,938.0,408.68702001,14.14,5780.38,4370.0,1500.0,239.0,3.0,1172.0,0.0,21350.0,5823.0,3469.0,9402.0,2656.0,13274.0,20438.0,2311.0,12024.0,6102.0,6102.0,1201.0,1319.0,-1776.0,278.0,0.0,-2054.0,0.0,76689.0,63414.0,41200.0,45445.312084,1.4,63414.18,32751.933764999998,1.26,41200.25,364680.0,0.0,316548.0,211145.0,38073.0,56544.0,10785.0,48132.0,9164.0,5508.0,0.0,33460.0,97154.0,96626.0,528.0,267526.0,13160.0,156434.0,17904.0,4630.0,54028.0,27206.0,0.0746014335,364680.17,27205.66,15880.0,15762.0,10288.0,9506.0,641.0,141.0,2714.0,77.0,2635.0,2.0,0.0,1427.0,11.0,0.0,1439.0,0.0,866.0,0.0,0.0,0.0,0.0,0.0,456.0,0.0,0.0
2004,(BEL) Belgium,(2) Horticulture,4400,200 - <500,40.3399,250.4,3.18,7952.5,1.69,4357.18,1.49,3595.32,5.9,3.53,1.05,0.43,0.0,3.23,0.0,0.61,0.04,0.0,0.57,0.41,0.04,0.07,0.12,0.0,0.65,0.0,0.0,0.0,0.44,0.0,0.0,0.2,82.64172014,0.52,43.25,106.94969631,0.35,37.11,2.2085395786,0.2,0.44,,0.0,0.0,,0.0,0.0,,0.0,0.0,218487.0,1.2059593173,181172.5,218486.72,215451.0,37275.55286,5.78,215451.0,807.0,0.0,0.0,404.0,601.0,0.0,61.0,191006.0,768.0,0.0,0.0,0.0,140.0,21665.0,659.0,1018.0647642000001,0.65,658.71,-275.0,0.0,316.0,1.0,0.0,341.0,0.0,0.0,0.0,2377.0,125.0,4619.0,181173.0,108483.0,55541.0,9347.257920299999,5.9,55154.53,29503.0,4587.0,9638.0,,,,4810.0,11204.0,598.06585139,0.65,386.96,93.0,33.0,251.0,0.0,44.0,0.0,52941.0,10090.0,27533.0,3629.0,11689.0,28743.0,43947.0,34300.0,2750.0,6896.0,6896.0,2114.0,491.0,-565.0,201.0,0.0,-767.0,0.0,111066.0,82323.0,37811.0,25862.572203,3.18,82323.06,22336.831484000002,1.69,37810.86,342234.0,0.0,261039.0,81485.0,124313.0,54865.0,377.0,81195.0,361.0,28146.0,0.0,52688.0,145567.0,143724.0,1843.0,196666.0,3568.0,275183.0,30918.0,2175.0,62999.0,30572.0,0.0893294212,342233.64,30571.53,1062.0,2684.0,402.0,375.0,23.0,4.0,125.0,0.0,125.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0
2004,(BEL) Belgium,(4) Other permanent crops,1200,40 - <100,40.3399,277.5,3.56,8740.97,1.39,3513.72,2.17,5227.25,17.15,9.92,1.52,1.16,0.0,0.12,0.0,13.66,13.63,0.0,0.03,0.14,0.3,0.05,0.34,0.0,0.36,0.29,0.0,0.0,0.07,0.0,0.0,0.0,98.631415411,0.83,82.29,112.95753005,0.69,77.72,2.6341263331,0.14,0.36,4772.5490196,0.29,1378.97,,0.0,0.0,,0.0,0.0,186692.0,1.2879110427,144957.0,186691.75,179617.0,10814.877768,16.61,179616.5,1319.0,0.0,0.0,207.0,2473.0,0.0,650.0,2797.0,166035.0,0.0,55.0,0.0,53.0,6028.0,508.0,1395.4829354,0.36,507.72,32.0,418.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,6568.0,249.0,78.0,144957.0,58424.0,25571.0,1482.517511,17.15,25421.71,653.0,8.0,3507.0,,,,14192.0,7070.0,410.96231704,0.36,149.52,112.0,69.0,0.0,0.0,37.0,0.0,32853.0,10507.0,7368.0,5766.0,9213.0,32101.0,54431.0,41778.0,7220.0,5434.0,5434.0,1692.0,2553.0,-1342.0,1410.0,0.0,-2752.0,0.0,132703.0,100602.0,44828.0,28283.585819,3.56,100601.8,32362.711657999997,1.39,44828.04,461365.0,0.0,394138.0,235517.0,106929.0,51448.0,244.0,67227.0,71.0,440.0,0.0,66717.0,114086.0,113896.0,190.0,347279.0,-3714.0,335326.0,35814.0,3712.0,75570.0,47416.0,0.10277255449999999,461365.08,47415.67,4436.0,3575.0,435.0,418.0,17.0,0.0,26.0,16.0,10.0,0.0,0.0,1866.0,0.0,0.0,1866.0,0.0,1042.0,0.0,0.0,0.0,0.0,0.0,206.0,0.0,0.0
2004,(BEL) Belgium,(5) Milk,6390,200 - <500,40.3399,141.3,1.6,4592.85,1.54,4469.16,0.05,123.69,42.06,32.02,4.17,1.88,0.0,0.11,0.0,0.06,0.06,0.0,0.0,35.44,0.0,0.23,0.23,0.0,80.83,48.26,0.0,0.0,30.81,0.0,1.54,0.21,84.130402717,2.69,225.9,120.74645606,0.69,82.82,2.2315513572,35.44,79.08,5930.881700600001,48.26,286230.75,,0.0,0.0,,0.0,0.0,121220.0,1.321414595,91735.22,121220.26,11030.0,264.45657789,41.71,11029.84,3292.0,13.0,0.0,1821.0,2736.0,20.0,499.0,798.0,694.0,0.0,0.0,0.0,556.0,601.0,107596.0,1331.2115134,80.83,107596.0,-466.0,87578.0,18293.0,1288.0,0.0,8.0,0.0,0.0,428.0,2594.0,350.0,3247.0,91735.0,59255.0,37855.0,243.37149227,42.06,10237.12,2868.0,32.0,4432.0,,,,2370.0,567.0,341.69619331,80.83,27617.82,18941.0,3201.0,915.0,11.0,7762.0,0.0,21400.0,6745.0,4211.0,7298.0,3146.0,18025.0,14455.0,866.0,6750.0,6839.0,6839.0,1100.0,1955.0,-1435.0,624.0,0.0,-2059.0,0.0,75412.0,57387.0,41497.0,35910.022822000006,1.6,57386.87,26859.654002,1.54,41497.27,388226.0,0.0,356703.0,183913.0,67047.0,44811.0,60932.0,31522.0,22696.0,906.0,0.0,7919.0,101843.0,101166.0,677.0,286382.0,7038.0,207739.0,19579.0,1553.0,59920.0,35097.0,0.0904046515,388225.6,35097.4,13447.0,12592.0,3753.0,3613.0,80.0,60.0,6215.0,3335.0,2881.0,0.0,0.0,421.0,462.0,0.0,884.0,0.0,1368.0,0.0,0.0,0.0,0.0,0.0,371.0,0.0,0.0
2004,(BEL) Belgium,(6) Other grazing livestock,8320,200 - <500,40.3399,133.7,1.56,4505.13,1.54,4465.1,0.02,40.03,55.61,41.9,7.09,2.26,0.0,0.03,0.0,0.0,0.0,0.0,0.0,45.87,0.0,0.26,0.26,0.0,112.32,13.78,0.0,0.0,95.83,0.28,2.26,0.04,78.492151046,4.87,382.16,122.05156677,0.6,73.02,2.3959851871,45.87,109.9,5499.3086134,13.78,75803.61,,0.0,0.0,,0.0,0.0,107592.0,1.1570103676999999,92991.39,107592.0,13633.0,246.32632418,55.35,13633.07,5434.0,25.0,0.0,1780.0,4150.0,77.0,255.0,188.0,0.0,0.0,0.0,0.0,873.0,851.0,91510.0,814.7073812000001,112.32,91510.14,551.0,20971.0,66561.0,2063.0,108.0,103.0,10.0,389.0,1305.0,2449.0,294.0,3899.0,92991.0,65730.0,46289.0,184.97842723,55.61,10286.28,2483.0,23.0,5138.0,,,,2417.0,248.0,320.53345944,112.32,36003.19,24366.0,3805.0,1564.0,66.0,10073.0,0.0,19440.0,5963.0,3356.0,7365.0,2757.0,13875.0,13387.0,304.0,6586.0,6496.0,6496.0,1102.0,1216.0,-1742.0,746.0,0.0,-2488.0,0.0,72854.0,58979.0,43850.0,37804.299055,1.56,58978.67,28418.433189,1.54,43850.26,421729.0,0.0,336557.0,139633.0,60286.0,41001.0,95637.0,85172.0,76052.0,1854.0,0.0,7266.0,99664.0,99236.0,428.0,322065.0,9190.0,282324.0,18594.0,4719.0,57436.0,36655.0,0.08691612189999999,421728.98,36655.05,30991.0,30878.0,3410.0,3296.0,104.0,10.0,21664.0,842.0,20804.0,18.0,0.0,1136.0,843.0,0.0,1980.0,0.0,1455.0,0.0,0.0,0.0,0.0,0.0,2368.0,0.0,0.0
2004,(BEL) Belgium,(7) Granivores,4510,100 - <200,40.3399,317.7,1.54,4124.35,1.5,4031.14,0.04,93.21,20.17,13.41,8.97,3.29,0.0,0.64,0.0,0.0,0.0,0.0,0.0,6.78,0.01,0.19,0.2,0.0,324.27,6.02,0.0,0.0,8.92,0.12,258.3,50.9,89.27236811799999,2.86,255.75,122.71117304,5.37,659.14,2.5942237161,5.81,15.06,6337.2060943999995,6.02,38181.43,,0.0,0.0,,0.0,0.0,311294.0,1.2170388623000001,255779.6,311293.73,21016.0,1066.7810545,19.7,21015.56,8690.0,118.0,0.0,2595.0,4312.0,16.0,1278.0,3155.0,0.0,0.0,0.0,0.0,558.0,296.0,288786.0,890.58214013,324.27,288786.2,12280.0,11495.0,5534.0,204602.0,47.0,48026.0,10741.0,127.0,8215.0,1492.0,212.0,4127.0,255780.0,215786.0,189393.0,399.03861825,20.17,8047.12,2902.0,124.0,1621.0,,,,2797.0,727.0,559.24766597,324.27,181345.5,3588.0,541.0,160877.0,3457.0,16880.0,0.0,26393.0,8067.0,8833.0,6334.0,3159.0,25718.0,14276.0,741.0,3953.0,9582.0,9582.0,1793.0,1468.0,-1342.0,202.0,0.0,-1544.0,0.0,101957.0,76239.0,60622.0,49555.814593,1.54,76239.29,40389.259842,1.5,60622.12,401166.0,0.0,326591.0,125749.0,133325.0,33210.0,34308.0,74574.0,64099.0,3182.0,0.0,7293.0,156718.0,156718.0,0.0,244447.0,16570.0,278750.0,18829.0,-6890.0,73898.0,43457.0,0.10832641259999999,401165.54,43456.82,6450.0,6775.0,3579.0,3112.0,66.0,401.0,1681.0,460.0,1204.0,0.0,16.0,211.0,11.0,0.0,222.0,0.0,969.0,0.0,0.0,0.0,0.0,0.0,323.0,0.0,0.0
2004,(BEL) Belgium,(8) Mixed,6680,200 - <500,40.3399,194.0,1.83,5035.3,1.68,4649.63,0.15,385.67,51.15,38.78,13.23,11.51,0.0,3.22,0.0,0.01,0.01,0.0,0.0,22.28,0.01,0.61,0.62,0.0,119.65,19.43,0.0,0.0,42.29,0.02,51.5,6.26,91.45881251200001,9.94,908.77,114.88326045,1.33,152.73,2.7714572433,22.27,61.73,6022.7578514,19.43,117015.89,,0.0,0.0,,0.0,0.0,179778.0,1.2274577324,146463.8,179778.1,66121.0,1308.7532237,50.52,66121.26,11471.0,374.0,0.0,13275.0,15195.0,268.0,2874.0,19507.0,133.0,0.0,0.0,0.0,665.0,2360.0,110070.0,919.96295818,119.65,110070.4,1419.0,34238.0,27207.0,36746.0,5.0,9856.0,275.0,0.0,1744.0,3586.0,380.0,4844.0,146464.0,104205.0,77904.0,464.19208094,51.15,23744.1,8878.0,340.0,6680.0,,,,7391.0,795.0,452.6650357,119.65,54159.81,16807.0,4000.0,28301.0,499.0,9052.0,0.0,26302.0,7516.0,5497.0,10285.0,3004.0,20413.0,21845.0,3252.0,10034.0,8559.0,8559.0,1503.0,2150.0,-2119.0,414.0,0.0,-2534.0,0.0,95270.0,74857.0,50893.0,40839.459223000005,1.83,74857.48,30314.996216000003,1.68,50892.83,475106.0,0.0,403750.0,210671.0,80615.0,57761.0,54702.0,71357.0,44059.0,3354.0,0.0,23943.0,137361.0,137236.0,125.0,337745.0,14778.0,268943.0,29679.0,9266.0,70346.0,38050.0,0.0800866794,475106.46,38049.7,19698.0,19051.0,6802.0,6168.0,262.0,372.0,8608.0,1314.0,7290.0,4.0,0.0,805.0,70.0,0.0,875.0,0.0,1483.0,0.0,0.0,0.0,0.0,0.0,1283.0,0.0,0.0
2004,(CYP) Cyprus,(1) Fieldcrops,4540,100 - <200,0.58192,30.1,1.65,3809.35,1.07,2480.96,0.58,1328.39,14.27,10.37,9.91,0.89,0.0,0.77,0.13,1.08,0.38,0.7,0.0,0.5,0.0,1.0,1.0,0.0,0.08,0.0,0.0,0.0,0.0,0.08,0.0,0.0,47.569841298,0.01,0.43,,0.0,0.0,11.881312682999999,0.01,0.08,,0.0,0.0,,0.0,0.0,,0.0,0.0,21177.0,0.8787256739,24099.22,21176.61,21071.0,1587.7164964,13.27,21071.24,3445.0,3.0,0.0,2931.0,0.0,320.0,1998.0,8649.0,721.0,986.0,240.0,996.0,476.0,306.0,84.0,1097.5715604,0.08,83.6,-32.0,0.0,0.0,0.0,23.0,0.0,0.0,61.0,0.0,22.0,476.0,113.0,24099.0,11307.0,5621.0,390.18199419999996,14.27,5567.69,2061.0,90.0,2002.0,,,,1185.0,319.0,700.81789856,0.08,53.38,49.0,23.0,0.0,0.0,4.0,0.0,5686.0,2391.0,1796.0,749.0,750.0,5975.0,6817.0,4492.0,1738.0,588.0,588.0,32.0,-11.0,0.0,0.0,0.0,0.0,0.0,14416.0,8441.0,1624.0,5115.7611081000005,1.65,8441.1,1516.4898597000001,1.07,1623.71,129833.0,0.0,113524.0,82801.0,6764.0,23904.0,55.0,16309.0,22.0,146.0,0.0,16142.0,8012.0,7201.0,811.0,121821.0,-5507.0,56191.0,130.0,-5845.0,6877.0,6469.0,0.049826677300000004,129833.1,6469.15,4546.0,4589.0,3683.0,0.0,0.0,3683.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.0,0.0,878.0,0.0,0.0,0.0,0.0,0.0
2004,(CYP) Cyprus,(2) Horticulture,890,< 15,0.58192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,(CYP) Cyprus,(3) Wine,730,15 - <40,0.58192,7.9,1.01,2315.36,0.79,1797.29,0.22,518.07,5.73,1.52,0.19,0.0,0.0,0.0,4.48,0.11,0.05,0.06,0.0,0.0,0.0,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,11528.0,1.0311281739,11179.78,11527.78,11528.0,2411.496212,4.78,11527.78,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,0.0,10903.0,175.0,0.0,212.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,0.0,11180.0,4726.0,1745.0,304.53957947,5.73,1744.77,25.0,0.0,853.0,,,,823.0,44.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2981.0,2040.0,399.0,289.0,253.0,3917.0,2537.0,2143.0,363.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9850.0,5933.0,3396.0,5853.313937,1.01,5933.11,4283.2016349,0.79,3396.3,128133.0,0.0,121028.0,108391.0,850.0,11787.0,0.0,7104.0,0.0,0.0,0.0,7104.0,214.0,214.0,0.0,127918.0,-3204.0,46216.0,714.0,-3204.0,6928.0,6214.0,0.0484985421,128132.63,6214.25,3048.0,3048.0,2649.0,0.0,0.0,2649.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,0.0,399.0,0.0,0.0,0.0,0.0,0.0
